[  578.212942] motor_ctrl: Removing motor_ctrl module
[  581.318319] motor_ctrl: Inserting module...
[  581.428837] motor_ctrl: Inserting module successful.
[  601.451901]  Jitter 20004243 
[  601.451907]  Jitter 19999608 
[  601.451912]  Jitter 19999972 
[  601.451918]  Jitter 19996327 
[  601.451923]  Jitter 20003931 
[  601.451928]  Jitter 19999920 
[  601.451935]  Jitter 20005598 
[  601.451940]  Jitter 19990597 
[  601.451945]  Jitter 20004087 
[  601.451950]  Jitter 19999712 
[  601.451955]  Jitter 19999817 
[  601.451963]  Jitter 19996378 
[  601.451968]  Jitter 20003879 
[  601.451973]  Jitter 20001587 
[  601.451979]  Jitter 19998202 
[  601.451984]  Jitter 19998931 
[  601.451990]  Jitter 20003306 
[  601.451996]  Jitter 19997993 
[  601.452001]  Jitter 19999504 
[  601.452007]  Jitter 19996430 
[  601.452012]  Jitter 20004035 
[  601.452018]  Jitter 19999869 
[  601.452023]  Jitter 19996170 
[  601.452029]  Jitter 19999973 
[  601.452034]  Jitter 20003983 
[  601.452039]  Jitter 19999660 
[  601.452044]  Jitter 20000076 
[  601.452051]  Jitter 19996327 
[  601.452057]  Jitter 20003983 
[  601.452062]  Jitter 19999556 
[  601.452068]  Jitter 20000024 
[  601.452073]  Jitter 19996379 
[  601.452079]  Jitter 20003931 
[  601.452084]  Jitter 19999712 
[  601.452090]  Jitter 19999972 
[  601.452096]  Jitter 19996431 
[  601.452101]  Jitter 20003775 
[  601.452106]  Jitter 19999972 
[  601.452112]  Jitter 19999973 
[  601.452118]  Jitter 19996274 
[  601.452123]  Jitter 20001640 
[  601.452128]  Jitter 20004243 
[  601.452133]  Jitter 19999608 
[  601.452140]  Jitter 19994607 
[  601.452146]  Jitter 20003826 
[  601.452151]  Jitter 19999972 
[  601.452157]  Jitter 19999764 
[  601.452162]  Jitter 19996430 
[  601.452167]  Jitter 20004035 
[  601.452173]  Jitter 19999451 
[  601.452179]  Jitter 20000076 
[  601.452185]  Jitter 19996430 
[  601.452190]  Jitter 20003983 
[  601.452195]  Jitter 19999607 
[  601.452201]  Jitter 20000024 
[  601.452207]  Jitter 19996378 
[  601.452212]  Jitter 20003931 
[  601.452217]  Jitter 19999503 
[  601.452222]  Jitter 20000232 
[  601.452229]  Jitter 19996170 
[  601.452235]  Jitter 20004139 
[  601.452240]  Jitter 19999920 
[  601.452246]  Jitter 19999607 
